科室门诊,其它,信息授权,院区选择,订单付费,选择就诊时间,门诊挂号,门诊缴费,查看报告,查询费用,挂号记录,电子票据,住院服务
戒烟门诊,1. 挂号流程,确定,方桥院区,¥12 ,8月31日,互联网医院,住院充值,住院报告,价格公示,住院记录,专病管理订单,住院服务
放射影像专科,10-14周岁,同意授权,月湖院区,¥22 ,9月2日,互联网门诊,住院押金,体检报告查询,住院费用,预约记录,医保电子凭证,住院清单
放射特需门诊,①实名制挂号：请您提供准确的患者本人信息和手机号码，以便及时获得医生出诊时间变动和就诊队列信息。,请登录,本部院区,¥23 ,9月4日,今日挂号,住院押金缴费,健康档案,充值记录,候诊查询,我的发票,住院状态
放射科,2.温馨提示：,支付宝授权登录,杭州市拱墅区景莘街50号,¥35 ,周六,名医在线坐诊,住院缴费,即时查询 调阅报告,医保余额,我的挂号,电子发票,住院陪护
放射诊断科,②每张就诊卡挂号限制：每个科室当天限约一次。,我已阅读并同意挂号须知,杭州市浣纱路261号,¥150 ,周四,咨询问诊,住院预缴,处方订单,发票查询,挂号记录,电子导诊单,
放射诊断门诊,③预约成功后，请提前至少30分钟到达就诊科室候诊区等候，到分诊台出示预约号签到。如果叫号屏显示已超过您的就诊对列号，可能医生已叫过号，请到分诊台咨询。,我知道了,浙大二院(博奥院区),去支付,周一,图文咨询,其他预约缴费,我的处方,押金记录,诊疗记录,电子票夹,
放射诊疗科,④ 只能挂号最近七天内的日期,同意规则并继续,浙大二院(城东院区),确认支付,周二,在线复诊,出院结算,我的报告,缴存明细,问诊订单,电子票据,
放疗科,English,授权登录,浙大二院(滨江院区),结算,周三,当日挂号,医保自费在线付,我的报告单,缴费记录,预约挂号记录,,
整形外科,Language/语言中文English,支付宝一键登录,浙大二院(眼科院区),确认预约,周五,快速问诊,就医缴费,报告,账单记录,预约记录,,
整形美容,按科室查找,我已阅读并同意,浙大二院(解放路院区),,预约未来28天号源,我的预约,就诊卡充值,报告查询,,,,
